condition,mean_best_loss,std_best_loss,mean_final_loss,std_final_loss,mean_best_epoch,n_seeds
channelsadd5,0.7281286915143331,0.00034714746700934506,0.7284607887268066,0.0005652559623882501,14.0,3
channelsminus5,0.729582687218984,0.0005537091249858912,0.7297443350156149,0.0006870382101317386,15.333333333333334,3
ogchannels,0.728307843208313,0.00023626734606245676,0.7286058664321899,0.00029317995530954265,15.0,3
top35,0.7294213970502218,0.0002817275017231486,0.729590654373169,0.0005247092145934419,17.666666666666668,3
