channel,mean_coherence_all_freqs,std_coherence_all_freqs,max_coherence,freq_at_max_coherence,band_mean_coherence,band_std_coherence,band_valid_bins,band_total_bins,band_nan_fraction,time_domain_corr,std,rms
H1_IMC_PWR_IN_OUT_DQ,0.0007383576648549803,0.01006281688936857,0.40329461108315917,60.0,0.0007591461872661349,0.0007629655124264767,41,41,0.0,-2.3702611473156862e-05,0.006427968734823517,60.182885421837355
H1_SQZ_CLF_REFL_LF_OUT_DQ,0.0016790871709456401,0.022199815047298954,0.7554830192992309,180.0,0.0007573115852392003,0.0020528960718685665,41,41,0.0,2.4438394496991777e-05,2.521330722878858e-06,0.005747119791502856
H1_SUS_OFI_M1_DAMP_Y_IN1_DQ,0.0005998502755297105,0.006883090882552014,0.2911047475344833,60.0,0.0007521718389915726,0.0012450266739752333,41,41,0.0,-1.7419052161411106e-05,0.015605323462160323,73.05362359383653
H1_ISI_ETMX_ST1_BLND_RY_T240_CUR_IN1_DQ,0.0018514773299034908,0.03697506122203646,0.9853697888450141,60.0,0.0007482685057853719,0.0025741220619094787,41,41,0.0,0.00030423538491922744,17.063169720535683,321.5530526629217
H1_PEM_MY_SEIS_VEA_FLOOR_Z_DQ,0.00037332661230828773,0.0010839869259823096,0.04115692678849386,960.0,0.0007354762347042467,0.0016614889780502038,41,41,0.0,-0.0011352760379588647,221.00968922768,1398.2599118505184
H1_SUS_ITMY_M0_DAMP_L_IN1_DQ,0.0006231028974796388,0.00645173316879191,0.260145375826514,60.0,0.0007351363557008226,0.0024998971889353037,41,41,0.0,-0.0003686129968273455,0.010649501032245155,19.41896158438547
H1_SUS_MC1_M2_WIT_L_DQ,0.0007377516136646665,0.009627145571562877,0.38719122356611496,60.0,0.0007289514431306428,0.0022370079674109075,41,41,0.0,-2.7018179795174054e-05,0.004408117698913499,32.81614841866714
H1_ASC_AS_B_RF42_YAW_OUT_DQ,0.0003957132161727156,0.0004440896266986211,0.0070542526785705075,120.0,0.0007283313559164192,0.0011255194856711137,41,41,0.0,-0.00017132020528538215,0.02381372011411352,0.023813720143804337
H1_SUS_ZM1_M1_DAMP_L_IN1_DQ,0.0005309777316064293,0.004043500807769472,0.1737076090811989,30.0,0.0007275284799884524,0.0010562524844139325,41,41,0.0,-7.272735591603916e-05,0.0015462726533213404,33.59307991928994
H1_SUS_MC1_M3_WIT_Y_DQ,0.0006800289846793065,0.009060150938580435,0.3645773933178607,60.0,0.0007205830715471893,0.0020552814092792745,41,41,0.0,0.0012118207588702357,0.02904218544462695,1014.1352746617058
H1_SUS_ETMX_M0_DAMP_R_IN1_DQ,0.0005908093505882334,0.00630522164259394,0.26201005814536166,60.0,0.0007159890078640355,0.0014416229965023822,41,41,0.0,-0.002906259879320866,0.009966600613043107,179.97571336836222
H1_ISI_ITMY_ST2_BLND_RX_GS13_CUR_IN1_DQ,0.002275377834537934,0.02850630647225769,0.8194634343049404,60.0,0.0007105382933734327,0.0012100037852231774,41,41,0.0,-0.0005754921285727446,0.5215538642357734,6.664015718665611
H1_SUS_FC2_M3_WIT_L_DQ,0.0018005272164982218,0.037072796783686746,0.9873274960654944,60.0,0.0007090313705529274,0.0016213221755292336,41,41,0.0,1.8740548740304223e-05,0.2501756933102618,87.82091551923796
H1_SUS_ETMX_M0_DAMP_L_IN1_DQ,0.0006716130712372231,0.006455748325145916,0.24658877200171542,60.0,0.0007026574760905381,0.0008825856576273619,41,41,0.0,3.285253894719401e-05,0.1725500148345405,27.024179744366073
H1_SUS_PRM_M3_WIT_L_DQ,0.0005793431808526101,0.006136726638221556,0.25179718563409387,60.0,0.0006999845717216717,0.0015125637254249683,41,41,0.0,2.239695754112796e-05,0.13914229417976454,75.68527041959932
H1_PEM_FCES_ACC_VEA_FLOOR_Z_DQ,0.00035069015546748623,0.0005303868641340964,0.014898367402241514,60.0,0.0006962164011723072,0.001613449882157469,41,41,0.0,0.00025177183808875413,0.13154567652853247,0.7798686103181011
H1_SUS_MC3_M2_WIT_L_DQ,0.00042675818571317033,0.001687306073194009,0.06490419149696977,20.0,0.0006925222993699464,0.0010174772382443005,41,41,0.0,0.00016713565730339466,0.0041052204654493055,58.25793598662661
H1_SUS_SR2_M2_WIT_Y_DQ,0.0010067175691143816,0.01681642861038756,0.6327534868677259,60.0,0.0006892060289799212,0.002083230390732943,41,41,0.0,0.00039088374362878736,0.07282374023481306,592.0801029483106
H1_SUS_MC1_M1_DAMP_L_IN1_DQ,0.0005474824592906934,0.0047663643039172095,0.1787533076620928,60.0,0.0006866822391456753,0.0022411644938100444,41,41,0.0,8.121567478921683e-05,0.0026734856498774424,60.405783392669605
H1_SUS_ETMY_L2_WIT_L_DQ,0.000472779145815383,0.003635248069478545,0.15110397164500372,60.0,0.0006800700811792193,0.0012572554454837726,41,41,0.0,-1.0975737055612804e-05,0.16651914377300644,21.88278041579445
H1_PEM_EY_MIC_EBAY_RACKS_DQ,0.0003963755707000512,0.0012672287638765317,0.04729447242550441,60.0,0.0006726694790494368,0.001720732641062694,41,41,0.0,0.00016991602943223266,5420.988153741598,6107.486936679532
H1_SUS_MC3_M1_DAMP_T_IN1_DQ,0.0004401737892850781,0.001857125747383378,0.05345445226553291,20.0,0.0006724668841985155,0.0008847593840254297,41,41,0.0,-1.9261379302657558e-05,0.003214122173326154,13.737938621187608
H1_SUS_FC2_M2_WIT_L_DQ,0.0003836306362660823,0.0012640228591796379,0.050729418841627655,60.0,0.0006683485253376421,0.0016969570614153017,41,41,0.0,2.6992764303244227e-05,0.21058504084571197,28.9272477669261
H1_SUS_SRM_M3_WIT_L_DQ,0.0008466216098749101,0.01378595292534507,0.536910408930911,60.0,0.000658922714163798,0.001293818519785537,41,41,0.0,1.1217029533158349e-06,0.2631516980953216,27.412559323663395
H1_SUS_MC3_M1_DAMP_Y_IN1_DQ,0.0004940597490470349,0.003241706296952454,0.12357015465534206,60.0,0.0006585049887060693,0.001799391758373871,41,41,0.0,0.00017004607828314275,0.015764381129288543,169.5633603091537
H1_SUS_ETMX_L2_WIT_Y_DQ,0.0003948768680731811,0.0012749624299103312,0.04974408447180318,60.0,0.000650807333683305,0.0005874707054522542,41,41,0.0,1.9565870763852553e-05,0.21655485885048414,790.3604015650429
